Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780627854,1000,,Aggregated,474.400000,0.000000,100,110,110,110,140,160,190,220,310,330,340,24522,0,100,85.92846312584318,0.5664920008712215,338.55760999904305,11039.911997390098
1780627855,1000,,Aggregated,474.400000,0.000000,100,110,110,110,140,160,190,220,310,330,340,24522,0,100,85.92846312584318,0.5664920008712215,338.55760999904305,11039.911997390098
1780627856,1000,,Aggregated,469.100000,0.000000,100,110,110,120,140,160,200,220,310,330,340,25959,0,100,87.11022597414943,0.5664920008712215,338.55760999904305,11047.446319195655
1780627857,1000,,Aggregated,469.100000,0.000000,100,110,110,120,140,160,200,220,310,330,340,25959,0,100,87.11022597414943,0.5664920008712215,338.55760999904305,11047.446319195655
1780627858,1000,,Aggregated,469.100000,0.000000,100,110,110,120,140,160,200,220,310,330,340,25959,0,100,87.11022597414943,0.5664920008712215,338.55760999904305,11047.446319195655
1780627859,1000,,Aggregated,473.000000,0.000000,100,110,110,120,140,160,200,220,300,330,340,27391,0,100,86.89645669898803,0.5664920008712215,338.55760999904305,11035.042276660217
1780627860,1000,,Aggregated,473.000000,0.000000,100,110,110,120,140,160,200,220,300,330,340,27391,0,100,86.89645669898803,0.5664920008712215,338.55760999904305,11035.042276660217
1780627861,1000,,Aggregated,473.000000,0.000000,100,110,110,120,140,160,200,220,300,330,340,27391,0,100,86.89645669898803,0.5664920008712215,338.55760999904305,11035.042276660217
1780627862,1000,,Aggregated,474.600000,0.000000,100,110,110,120,140,160,200,220,300,330,340,28817,0,100,87.85948727723098,0.5664920008712215,338.55760999904305,11052.537425825034
1780627863,1000,,Aggregated,474.600000,0.000000,100,110,110,120,140,160,200,220,300,330,340,28817,0,100,87.85948727723098,0.5664920008712215,338.55760999904305,11052.537425825034
1780627864,1000,,Aggregated,474.600000,0.000000,100,110,110,120,140,160,200,220,300,330,340,28817,0,100,87.85948727723098,0.5664920008712215,338.55760999904305,11052.537425825034
1780627865,1000,,Aggregated,477.700000,0.000000,100,110,110,120,140,160,200,220,300,330,340,30252,0,100,87.54457488281733,0.5664920008712215,338.55760999904305,11053.039567631891
1780627866,1000,,Aggregated,477.700000,0.000000,100,110,110,120,140,160,200,220,300,330,340,30252,0,100,87.54457488281733,0.5664920008712215,338.55760999904305,11053.039567631891
